Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/royal-phoenix-bac-ninh.vi.html,Royal Phoenix Hotel Bac Ninh,2.156.220 VND,"16 Đường Phù Đổng Thiên Vương, Bắc Ninh, Việt Nam","7,9","8,4","8,2","9,2","8,5","8,1","7,7","8,1","Hồ bơi ngoài trời, Dịch vụ đưa đón sân bay (miễn phí), Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Nhà hàng, Máy pha trà/cà phê trong tất cả các phòng, Bữa sáng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/po-sky-hotel-kh-ch-s-n-b-c-ninh-b-c-ninh.vi.html,SKY HOTEL - KHÁCH SẠN BẮC NINH,,"36 Nguyen Quyen Sky Motel - 36 Nguyen Quyen, Bac Ninh SKY MOTEL - 36 NGUYỄN QUYỀN BẮC NINH, 16000 Bắc Ninh, Việt Nam",,,,,,,,,"Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 23:00,Đến 12:00
https://www.booking.com/hotel/vn/atour-phoenix.vi.html,ATOUR Phoenix Hotel,1.325.000 VND,"286 Đường Hàn Thuyên, Bắc Ninh, Việt Nam","8,6","9,1","8,7","8,5","8,8","8,8","8,3",,"Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, 2 nhà hàng, Phòng gia đình, Bữa sáng",Từ 14:00 - 22:00,Từ 12:00 - 13:00
https://www.booking.com/hotel/vn/muong-thanh-luxury-bac-ninh-hotlel.vi.html,Muong Thanh Luxury Bac Ninh Hotel,2.285.938 VND,"395, Ngo Gia Tu Street, Tien An Ward, Bắc Ninh, Việt Nam","7,0","7,9","7,4","7,4","7,3","7,2","8,0","8,8","Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, Trung tâm thể dục, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Nhà hàng, Quầy bar, Bữa sáng tốt",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/haengbok.vi.html,Haengbok Hotel,,"51 Lê Chân, P. Đại Phúc, Tp. Bắc Ninh, Bắc Ninh, Việt Nam","7,9","8,6","8,1","8,2","8,2","8,6","8,4","6,9","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe miễn phí, Nhà hàng, Máy pha trà/cà phê trong tất cả các phòng, Bữa sáng",Từ 12:00 - 00:00,Từ 07:30 - 12:00
https://www.booking.com/hotel/vn/hana-aparthotel-bac-ninh.vi.html,Hana 1 Apartment & Hotel Bac Ninh,565.335 VND,"Lot 6-7-8, Street Vo Cuong 4, HUDLAND Residence Zone, Ward Vo Cuong, Bắc Ninh, Việt Nam","8,8","8,8","8,6","8,7","8,8","9,2","9,0","6,7","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Bữa sáng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/amira-bac-ninh.vi.html,Amira Hotel Bắc Ninh,1.068.086 VND,"255A Đường Nguyễn Gia Thiều, 220000 Bắc Ninh, Việt Nam",10,10,10,10,10,10,10,,"Phòng không hút thuốc, Trung tâm thể dục, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Nhà hàng, Phòng gia đình, Bữa sáng",Từ 14:00 - 00:00,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/po-phoenix-resort-bac-ninh-p-c-u.vi.html,Phoenix Resort Bac Ninh,,"Zone 6, Phao Thu Hill, Dap Cau Ward, Bac Ninh City, Bac Ninh Province, 220000 Bắc Ninh, Việt Nam",,,,,,,,,"2 hồ bơi, Xe đưa đón sân bay, Phòng không hút thuốc, Trung tâm thể dục, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe miễn phí, Phòng gia đình, Quầy bar",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/amy-thanh-pho-bac-ninh1.vi.html,Amy Hotel,1.141.425 VND,"53F7+MP2, Đ. Lý Thái Tổ, P.Ninh Xá, Bắc Ninh, 220000, Bắc Ninh, Việt Nam","7,7","9,2","8,0","8,1","8,3","8,3","9,1","6,7","Dịch vụ đưa đón sân bay (miễn phí), Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Quầy bar, Bữa sáng",Phục vụ 24 giờ,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/kaida-apartment-kai-da-gong-yu-jiu-dian-chung-cu-lotus-center.vi.html,Kaida Apartment (凯达公寓酒店),5.355.000 VND,"Đường Lý Thái Tổ, Bắc Ninh, Việt Nam","8,3","8,3","8,0","8,3","8,4","8,7","8,4","7,5","Hồ bơi ngoài trời, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 15:00 - 23:00,Từ 11:00 - 12:00
