Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/madella.vi.html,Madella Hotel,575.230 VND,"48 Ngo Quyen, Cần Thơ, Việt Nam","8,4","8,8","8,3","8,3","8,4","8,6","9,3","9,3","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng",Từ 14:00 - 20:00,Từ 05:00 - 12:00
https://www.booking.com/hotel/vn/lime-hostel.vi.html,Lime Hostel - Ninh Kieu Center,402.730 VND,"20 Trần Quang Khải 20, Trần Quang Khải, Ninh Kiều, Cần Thơ, Cần Thơ, Việt Nam","8,0","8,7","7,9","8,1","8,2","8,7","8,4",,"Xe đưa đón sân bay, Phòng không hút thuốc, Tiện nghi cho khách khuyết tật, Chỗ đậu xe (trong khuôn viên), Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/riverside-can-tho.vi.html,Riverside 1 Hotel,1.027.935 VND,"38 Lê Lợi, Ninh Kiều, Cần Thơ, Việt Nam","8,5","8,9","8,5","8,7","8,7","8,7","8,4","8,8","Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Bữa sáng tốt, Có cung cấp nôi/cũi theo yêu cầu",Từ 14:00 - 19:00,Đến 12:00
https://www.booking.com/hotel/vn/luxhome-mekong-can-tho.vi.html,Luxhome Mekong Hotel,1.227.330 VND,"MG2.08, khu vincom Shop house, đường 30/4, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","8,8","9,3","8,7","9,3","9,3","9,2","9,4",10,"Phòng không hút thuốc, WiFi miễn phí, Trung tâm thể dục, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình, Quầy bar",Từ 14:00 - 15:00,Từ 11:00 - 12:00
https://www.booking.com/hotel/vn/aura-can-tho.vi.html,LION 8 Hotel,458.705 VND,"79B Pham Ngoc Thach, Cần Thơ, Việt Nam","8,6","8,9","8,6","8,7","8,6","8,7","8,7","7,8","Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 18:00,Từ 01:00 - 12:00
https://www.booking.com/hotel/vn/nha-nghi-on.vi.html,ON Hotel,331.429 VND,"Đường Trần Văn Sắc, 900000 Cần Thơ, Việt Nam","9,3","9,6","9,4","9,8","9,6","9,6","8,3",,"Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 18:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/lion-11-can-tho.vi.html,LION 11 Can Tho Hotel,717.500 VND,"33 Đường Châu Văn Liêm, 94000 Cần Thơ, Việt Nam","9,3","9,6","9,1","9,4","9,4","9,4","9,6","9,6","WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00 - 18:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/lion-15.vi.html,LION 15 Hotel,465.000 VND,"K9-12 Võ Nguyên Giáp, 900000 Cần Thơ, Việt Nam","9,3","9,4","9,3","9,5","9,3","9,4","8,5",,"Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 18:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/lion-can-tho.vi.html,LION HOTEL,459.378 VND,"63-65 Đường Hùng Vương, Phường Thới Bình, Quận Ninh Kiều, thành phố Cần Thơ, Cần Thơ, Việt Nam","8,2","8,8","8,3","8,5","8,5","8,4","8,6",,"Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 16:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/lasaoma-homestay-ninh-kieu1.vi.html,LASAOMA HOMESTAY,,"27 Đường số 1, khu Cồn Khương, phường Cái Khế, Quận Ninh Kiều, Thành Phố Cần Thơ. , Cần Thơ, Việt Nam","9,1","9,3","9,2","9,1","9,0","9,2","8,5","8,0","Hồ bơi ngoài trời, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng",Từ 14:00 - 18:00,Từ 00:00 - 12:00
