Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/khach-san-song-lo.vi.html,Khách Sạn Sông Lô,540.000 VND,"281 Bùi Thị Xuân, Hải Dương, Việt Nam","7,6","8,0","7,8","7,7","7,7","7,7","8,0",,"Phòng không hút thuốc, Chỗ đỗ xe miễn phí, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình",Phục vụ 24 giờ,Đến 12:00
https://www.booking.com/hotel/vn/nk-cong-doan-hai-duong.vi.html,NK Công Đoàn Hải Dương,611.000 VND,"107b Chi Lăng, Hải Dương, Việt Nam","7,4","7,5","7,7","7,8","7,5","7,7","8,1","7,5","Xe đưa đón sân bay, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, WiFi miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình",Từ 12:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/phuong-anh.vi.html,Phuong Anh Hotel 1 Hai Duong,1.018.741 VND,"Lot 18.1-3 Nam Cuong Urban Western, Ngo Quyen, Hải Dương, Việt Nam","7,8","8,0","7,3","7,8","7,5","7,6","7,5","8,8","Xe đưa đón sân bay, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Trung tâm thể dục, WiFi miễn phí, Dịch vụ phòng, Trung tâm Spa & chăm sóc sức khoẻ, Tiện nghi cho khách khuyết tật, Quầy bar, Bữa sáng tuyệt hảo",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/purple-lotus.vi.html,Purple Lotus Hotel,1.382.143 VND,"232 Đường Trường Chinh, Phường Tân Bình, Thành Phố Hải Dương, Tỉnh Hải Dương, Hải Dương, Việt Nam","8,8","9,6","8,8","9,5","9,1","9,3","8,4","8,7","Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Trung tâm thể dục, WiFi miễn phí, Dịch vụ phòng, Nhà hàng, Quầy bar, Bữa sáng tuyệt vời",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/bo.vi.html,YO Hotel,946.050 VND,"22 Phố Đào Đạo, Hải Dương, Việt Nam","8,7","9,0","9,3","9,2","8,8","8,8","8,4",10,"Xe đưa đón sân bay, Chỗ đỗ xe miễn phí, WiFi miễn phí, Dịch vụ phòng, Nhà hàng, Quầy bar, Bữa sáng",Từ 14:00 - 15:00,Từ 11:30 - 12:00
https://www.booking.com/hotel/vn/apec-mandala-wyndham-hai-duong-hai-duong.vi.html,Apec Mandala hotel & suites Hải dương,,"Cầu Hải Tân, Hải Dương, Việt Nam","8,2","8,7","8,4","8,4","7,9","8,3","9,3",,"Hồ bơi trong nhà, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Trung tâm thể dục, WiFi miễn phí, Phòng gia đình",Từ 14:00 - 18:00,Từ 08:00 - 11:00
https://www.booking.com/hotel/vn/apec-mandala-amp-suites-hai-duong-hai-duong1.vi.html,Apec Mandala Hotel & Suites Hai Duong,1.050.000 VND,"254 Yết Kiêu, 170000 Hải Dương, Việt Nam","9,0","8,8",10,10,10,"9,4",10,,"Hồ bơi ngoài trời, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Tiện nghi cho khách khuyết tật, 3 nhà hàng, Phòng gia đình",Từ 13:00 - 21:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/khach-san-apec-mandala-hai-duong.vi.html,Apec Mandala Hotel Hải Dương,738.667 VND,"8/346 Yết Kiêu, Hải Dương, Việt Nam","8,1","8,9","8,2","9,6","8,6","8,2","8,2",10,"Hồ bơi ngoài trời, Xe đưa đón sân bay, Chỗ đỗ xe miễn phí, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 13:00 - 20:00,Từ 08:00 - 11:30
https://www.booking.com/hotel/vn/asean-hai-duong.vi.html,Asean Hotel,871.990 VND,"168 Trần Hưng Đạo, Hải Dương, Việt Nam","7,1","8,5","7,2","7,2","7,4","7,5","8,2","6,0","Phòng không hút thuốc, Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng gia đình, Bữa sáng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/chau-a-hai-duong.vi.html,Chau A Hotel,,"11A, alley 159, Thanh Binh Street, Hải Dương, Việt Nam","8,4","8,0","8,0","8,0","8,0","8,0","8,0",,"Phòng không hút thuốc, Chỗ đỗ xe miễn phí, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 20:00,Từ 05:00 - 11:30
