Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/merry-house-serviced-apartment.vi.html,Merry House Imperia,713.286 VND,"BH 04-12A, Khu đô thị Vinhomes Imperia, Phường Thượng Lý, Quận Hồng Bàng, Thành phố Hải Phòng, Việt Nam","8,7","9,0","8,7","8,9","8,9","8,9","8,9","9,5","Hồ bơi ngoài trời, Xe đưa đón sân bay, WiFi nhanh miễn phí (77 Mbps), Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình, Quầy bar",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/novotel-amp-apartment.vi.html,The Nova Hotel & Apartment,818.748 VND,"Hoàng Thế Thiện 135, Thành phố Hải Phòng, Việt Nam","9,3","9,6","9,4","9,4","9,4","9,4","9,1","9,6","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ",Từ 14:00 - 20:00,Từ 11:30 - 12:00
https://www.booking.com/hotel/vn/the-luxhomes-apartments-231-van-cao.vi.html,The LuxHomes Apartment ᵀᴹ I 231 Văn Cao,538.650 VND,"1/231 Phố Văn Cao, Thành phố Hải Phòng, Việt Nam","9,0","9,5","9,5","9,6","9,5","9,6","9,3",10,"Xe đưa đón sân bay, WiFi miễn phí, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00 - 00:00,Từ 11:00 - 12:00
https://www.booking.com/hotel/vn/gallant-154.vi.html,Gallant Hotel - 154 Ngo Gia Tu,559.562 VND,"154 Ngô Gia Tự Cát Bi, Hải An, Thành phố Hải Phòng, Việt Nam","7,9","8,2","7,8","8,1","7,9","8,0","8,3","8,0","Phòng không hút thuốc, WiFi miễn phí, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 00:00,Đến 12:00
https://www.booking.com/hotel/vn/merry-house-hoang-huy-riverside.vi.html,Merry House Hoàng Huy Riverside,555.660 VND,"Số LK-07/19 Dự án Hoàng Huy Riverside, Thành phố Hải Phòng, Việt Nam","9,1","8,9","9,4","9,4","9,3","9,4","8,9","8,5","Xe đưa đón sân bay, WiFi nhanh miễn phí (74 Mbps), Chỗ đỗ xe miễn phí, Dịch vụ phòng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/vinhomes-studios-and-double-room.vi.html,Merci Vinhomes Imperia Hai Phong,600.031 VND,"BH04-07, Vinhomes Imperia, Thuong ly, Hong Bang, Hai Phong, Thành phố Hải Phòng, Việt Nam","8,2","8,7","8,2","8,5","8,6","8,6","8,8","9,0","Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 21:00,Từ 07:00 - 11:00
https://www.booking.com/hotel/vn/na-mit-homestay.vi.html,Na Mit HomeStay,974.525 VND,"Tulip 417 Hoàng Huy Commercer Hải Phòng, Thành phố Hải Phòng, Việt Nam","9,2","9,2","9,3","9,3","9,1","9,1","9,1",10,"2 hồ bơi, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Quầy bar",Từ 14:00 - 23:00,Từ 06:00 - 12:00
https://www.booking.com/hotel/vn/mountain-bamboo-s.vi.html,Mountain bamboo s,1.280.000 VND,"Cát Bà Island Thôn 4 Xã Xuân Đám, 187460 Thành phố Hải Phòng, Việt Nam",,,,,,,,,"Chỗ đỗ xe miễn phí, Bữa sáng",Từ 13:00 - 21:00,Từ 11:00 - 12:00
https://www.booking.com/hotel/vn/dg-tower.vi.html,DG Tower,1.637.500 VND,"15 Phố Trần Phú, Cầu Đất, Ngô Quyền, Thành phố Hải Phòng, Việt Nam, 04000 Thành phố Hải Phòng, Việt Nam",,,,,,,,,"WiFi miễn phí, Chỗ đỗ xe miễn phí",Từ 14:00 - 23:00,Từ 12:00 - 12:30
https://www.booking.com/hotel/vn/the-eastern-amp-apartment-hai-phong.vi.html,The Eastern Hotel & Apartment,787.500 VND,"9 Phố Phan Bội Châu, 18000 Thành phố Hải Phòng, Việt Nam","9,0",10,10,10,"7,5",10,10,,Chỗ đỗ xe miễn phí,Từ 14:00 - 23:00,Từ 12:00 - 13:00
https://www.booking.com/hotel/vn/7homestay-hai-phong.vi.html,7Homestay,960.000 VND,"Diamond Crown Hải Phòng 3628, 180000 Thành phố Hải Phòng, Việt Nam","9,0",10,10,10,10,10,10,,"Hồ bơi, WiFi miễn phí, Chỗ đỗ xe miễn phí",Từ 14:00 - 23:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/rau-stay-vinhomes-marina-hai-phong-hai-phong.vi.html,Râu's Stay,765.000 VND,"Vinhomes Marina Cầu rào 2, 187690 Thành phố Hải Phòng, Việt Nam",,,,,,,,,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 23:00,Từ 12:00 - 13:00
https://www.booking.com/hotel/vn/hpt-ii-apartment.vi.html,HPT Home II Apartment - Homestay chuỗi căn hộ Hải Phòng,529.667 VND,"LK 3-08 Hoàng Huy Riverside, Thượng Lý, Hồng Bàng, Hải Phòng 5 tầng, Thành phố Hải Phòng, Việt Nam","8,4","8,8","8,4","8,6","8,4","8,6","8,5","8,1","WiFi nhanh miễn phí (177 Mbps), Chỗ đỗ xe miễn phí",Từ 14:00 - 23:30,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/hpt-3-apartment-chuoi-can-ho-hai-phong.vi.html,HPT Home II Vinhome Marina chuỗi Apartment - Homestay,764.800 VND,"SH 1.55 Vinhome Marina - LÃª ChÃ¢n - Háº£i PhÃ²ng, Thành phố Hải Phòng, Việt Nam","8,5","9,0","8,7","9,1","9,2","8,9","8,7",,"WiFi miễn phí, Chỗ đỗ xe miễn phí",Từ 14:00 - 23:30,Từ 08:00 - 12:00
