Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/khach-san-inco-515-9.vi.html,Khách sạn INCO 515.9,1.688.889 VND,"Đường Lê Hoàn, Phủ Lý, Việt Nam","7,0","8,3","7,5","7,4","7,6","7,0","8,1","8,3","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00 - 23:30,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/green-valley-ha-nam.vi.html,Legend Valley Hotel Ha Nam,1.878.455 VND,"Thôn Quang Thừa, Xã Tượng Lĩnh, Huyện Kim Bảng, Tỉnh Hà Nam, Phủ Lý, Việt Nam","8,0","8,9","8,6","8,9","9,1","8,0","7,5",10,"Hồ bơi ngoài trời, Phòng không hút thuốc, WiFi miễn phí, Trung tâm thể dục, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00 - 23:00,Từ 01:00 - 12:00
https://www.booking.com/hotel/vn/khach-san-hoa-dong-thanh-pho-phu-ly12.vi.html,Khách sạn Hoa Đông,1.289.222 VND,"Ngô Gia Tự, Châu Cầu, Việt Nam","8,3","8,5","8,4","8,5","8,8","8,3","8,4",,"Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, 2 nhà hàng, Dịch vụ phòng, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00 - 22:00,Đến 12:00
https://www.booking.com/hotel/vn/melia-vinpearl-phu-ly.vi.html,Meliá Vinpearl Phu Ly,2.156.018 VND,"No.69, Chau Cau street, Minh Khai Ward, Phu Ly City Ha Nam Province, Phủ Lý, Việt Nam","8,8","9,2","9,2","9,0","9,2","9,1","9,1","8,3","Hồ bơi trong nhà, Phòng không hút thuốc, WiFi miễn phí, Trung tâm thể dục, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Quầy bar, Bữa sáng tốt",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/riverside-ha-nam.vi.html,Riverside Hotel Hà Nam,1.028.549 VND,"Lê Hoàn, Phủ Lý, Việt Nam","7,9","8,2","8,3","8,3","8,5","8,3","8,3",,"Hồ bơi ngoài trời, Trung tâm thể dục, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar, Bữa sáng rất tốt",Từ 14:00 - 23:30,Đến 12:00
https://www.booking.com/hotel/vn/tam-chuc-complex.vi.html,Tam Chuc Complex,1.361.250 VND,"Ba Sao Commune, Kim Bang District, Ha Nam Province, Kim Bảng, Việt Nam","8,4","8,3","8,4","8,6","8,9","8,4","8,9",,"Chỗ đỗ xe miễn phí, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Phòng gia đình, Bữa sáng tuyệt vời",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/khach-san-anh-dao.vi.html,Khách sạn Anh Đào,338.333 VND,"232 Lý Thường Kiệt, Phường Lê Hồng Phong, Phủ Lý, Hà Nam 232, Phủ Lý, Việt Nam","8,0","8,1","7,9","8,4","8,0","8,3","8,2","7,5","WiFi miễn phí, Chỗ đỗ xe miễn phí",Phục vụ 24 giờ,Từ 12:00 - 13:00
https://www.booking.com/hotel/vn/hoang-gia-royal.vi.html,Hoàng Gia Hotel Royal,549.824 VND,"Thôn Thịnh Đại, xã Đại Cương, huyện Kim Bảng, Tỉnh Hà nam, Kim Bảng, Việt Nam","8,1","9,1","8,2","7,8","8,7","8,2","8,2",,"Chỗ đỗ xe miễn phí, Phòng không hút thuốc, WiFi miễn phí",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/ls-kim-bang1.vi.html,LS HOTEl,,"Quốc lộ 1 a, Kim Bảng, Việt Nam","8,3","8,7","8,5","8,7","8,6","8,5","7,6",,"Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 18:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/famille-ha-nam.vi.html,FAMILLE HA NAM,1.800.000 VND,"Lô CN-07, CN-08, Khu công nghiệp Đồng Văn I, Thị trấn Đồng Văn, Huyện Duy Tiên, Lưu Xá, Việt Nam","7,9","8,3","8,2","8,2","8,6","6,9","7,8","8,5","Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, Phòng không hút thuốc, WiFi miễn phí, Nhà hàng, Bữa sáng rất tốt",Từ 14:00 - 21:00,Đến 12:00
