Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/unique-heritage-old-quarter-apartment-ha-noi.vi.html,Unique Heritage Old Quarter Apartment,636.000 VND,"28A Phố Phạm Hồng Thái, Quận Ba Đình, 100000 Hà Nội, Việt Nam",,,,,,,,,"Xe đưa đón sân bay, Chỗ đỗ xe, Sân thượng / hiên, Giặt ủi, Điều hòa nhiệt độ",Từ 14:00 - 23:00,Từ 00:00 - 11:00
https://www.booking.com/hotel/vn/muse-hanoi-serenity-suites.vi.html,Muse Hanoi Serenity Suites,1.154.366 VND,"215 Phố Giảng Võ, Quận Đống Đa, Hà Nội, Việt Nam","7,6","8,7","8,3","8,5","8,5","8,5","8,3","8,6","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe, Phòng gia đình, Lễ tân 24 giờ, Thang máy, Điều hòa nhiệt độ, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00 - 23:30,Đến 12:00
https://www.booking.com/hotel/vn/apartment-in-ho-tay.vi.html,Apartment in Ho Tay,475.000 VND,"6b Ngõ 64 Pho Tứ Liên Tầng 4, Quận Tây Hồ, 11200 Hà Nội, Việt Nam",,,,,,,,,"Trung tâm thể dục, WiFi miễn phí, Chỗ đỗ xe, Điều hòa nhiệt độ",Từ 12:00 - 14:00,Từ 14:00 - 15:00
https://www.booking.com/hotel/vn/can-ho-trung-tam-dong-da.vi.html,Căn Hộ trung tâm Đống Đa,6.480.000 VND,"12a/34 Phố Nguyên Hồng, Quận Ba Đình, 100000 Hà Nội, Việt Nam",,,,,,,,,"WiFi miễn phí, Sân thượng / hiên, Điều hòa nhiệt độ, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00 - 23:00,Đến 11:00
https://www.booking.com/hotel/vn/2br-suite-lift-laundrycenter-ba-dinh.vi.html,2BR Suite Lift-LaundryCenter,5.985.000 VND,"90/34 Phố Nguyên Hồng, Quận Ba Đình, Hà Nội, Việt Nam",,,,,,,,,"Trung tâm thể dục, WiFi miễn phí, Sân thượng / hiên, Sân vườn, Điều hòa nhiệt độ, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00,Đến 11:00
https://www.booking.com/hotel/vn/celia-hanoi.vi.html,Hanoi L'Heritage Hotel & Gym - Spa,2.202.429 VND,"39-41 Hang Ga Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam","9,4","9,7","9,3","9,6","9,5","9,4","9,7","9,7","Xe đưa đón sân bay, Phòng không hút thuốc, Trung tâm thể dục, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng tuyệt vời, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00,Từ 05:00 - 12:00
https://www.booking.com/hotel/vn/drift-backpackers-hostel.vi.html,Drift Backpackers Hostel,371.520 VND,"38 Phố Ấu Triệu, Quận Hoàn Kiếm, Hà Nội, Việt Nam","8,3","8,7","8,2","8,3","8,3","8,8","9,5","8,7","Phòng không hút thuốc, WiFi miễn phí, Lễ tân 24 giờ, Sân thượng / hiên, Giặt ủi, Điều hòa nhiệt độ, Bữa sáng tuyệt hảo",Từ 14:00 - 23:00,Từ 00:00 - 11:30
https://www.booking.com/hotel/vn/essence-palace.vi.html,Hotel Emerald Waters Classy,1.750.181 VND,"27-29 Gia Ngu Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam","9,2","9,9","9,0","9,3","9,3","9,4","9,7","9,2","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Lễ tân 24 giờ, Thang máy, Bữa sáng rất tốt, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/fte-ba-dinh.vi.html,FTE Ba Dinh Hotel,2.519.210 VND,"268 Buoi Street, Tay Ho District, Quận Ba Đình, Hà Nội, Việt Nam","9,0","9,6","9,1","9,3","9,4","9,1","7,8","9,0","Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, Trung tâm thể dục, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Quầy bar, Bữa sáng tốt, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/casa-dos-principes-amp-spa.vi.html,Casa Dos Príncipes Hotel & Spa,1.323.000 VND,"56 Phố Đào Duy Từ, Quận Hoàn Kiếm, Hà Nội, Việt Nam","9,2","9,8","9,2","9,3","9,3","9,4","9,7","8,9","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng, Chỗ đỗ xe, Nhà hàng, Quầy bar, Bữa sáng rất tốt, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00 - 00:00,Từ 00:00 - 12:00
