Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/white.vi.html,White Hotel,716.818 VND,"139 Ha Huy Tap, Hà Tĩnh, Việt Nam","7,4","8,0","7,2","7,4","7,7","7,7","8,5","7,5","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/hung-phat-3.vi.html,Hotel Hưng Phát 3,388.000 VND,"568 Nguyễn Du, 480000 Hà Tĩnh, Việt Nam","9,7",10,"9,2","9,2","9,2","9,2","9,2",,"Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Phục vụ 24 giờ,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/vinpearl-ha-tinh.vi.html,Meliá Vinpearl Ha Tinh,8.391.201 VND,"Ha Huy Tap Crossroad, Hà Tĩnh, Việt Nam","8,8","9,0","9,1","9,0","9,2","8,9","9,2","7,3","2 hồ bơi, Phòng không hút thuốc, WiFi miễn phí, Trung tâm thể dục, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Quầy bar, Bữa sáng tốt",Từ 14:00 - 00:00,Đến 12:00
https://www.booking.com/hotel/vn/binh-minh-ha-tinh.vi.html,Bình Minh Hotel,445.000 VND,"09 Trần Phú, Trần Phú, Hà Tĩnh, Ha Tinh, Vietnam, Hà Tĩnh, Việt Nam","6,2","7,0","6,5","6,7","6,8","6,8","8,4","7,5","Dịch vụ đưa đón sân bay (miễn phí), WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/top-apartment.vi.html,Top apartment,268.750 VND,"Tổ dân phố vĩnh hoà phường trần phú tp hà tĩnh, 48000 Hà Tĩnh, Việt Nam","9,5","9,8","9,6","9,8","9,6",10,"9,4",,"Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí",Từ 12:30 - 23:30,Từ 06:00 - 12:00
https://www.booking.com/hotel/vn/hung-phat-ha-tinh.vi.html,HOTEL Hưng Phát,388.000 VND,"Hotel hưng phát, 480000 Hà Tĩnh, Việt Nam","8,9","9,4","9,1","9,4","9,4","9,4","8,1",,"WiFi miễn phí, Chỗ đỗ xe miễn phí",Phục vụ 24 giờ,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/thanh-binh-2-thanh-pho-ha-tinh.vi.html,Hotel Thanh Bình 2,306.000 VND,"Trần Phú số nhà 54, đường Trần Phú, Phường Bắc Hà, Hà Tĩnh, Việt Nam","8,3","9,3","8,1","8,3","8,1","8,7","8,7","9,5","WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Phục vụ 24 giờ,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/phuong-phuong.vi.html,Phương Phương 1 Hotel,320.000 VND,"208 Nguyen Du, Hà Tĩnh, Việt Nam","8,4","8,8","7,9","8,4","8,4","8,2","8,9",,"Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/khach-san-thanh-binh.vi.html,Thanh Binh Hotel,323.333 VND,"179 Ha Huy Tap, Hà Tĩnh, Việt Nam","8,1","8,7","7,6","7,8","8,0","8,2","8,4","8,8","WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 12:00 - 18:00,Đến 12:00
https://www.booking.com/hotel/vn/seabird-thien-cam.vi.html,Seabird Hotel Thien Cam,4.178.700 VND,"Thien Cam Beach Cam Xuyen District, Hà Tĩnh, Việt Nam","7,9","8,3","8,3","8,6","8,4","7,8","8,9","8,8","Hồ bơi ngoài trời, Phòng không hút thuốc, WiFi miễn phí, Giáp biển, Tiện nghi cho khách khuyết tật, Chỗ đỗ xe miễn phí, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00 - 23:30,Từ 01:00 - 11:00
https://www.booking.com/hotel/vn/melia-vinpearl-cua-sot-beach-resort.vi.html,Meliá Vinpearl Cua Sot Beach Resort,13.265.080 VND,"Thinh Loc, Loc Ha, Ha Tinh Province, Hà Tĩnh, Việt Nam","8,0","8,8","8,1","8,8","8,7","8,3","7,3","7,5","2 hồ bơi, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Quầy bar, Khu vực bãi tắm riêng, Bữa sáng rất tốt",Từ 15:00,Đến 12:00
https://www.booking.com/hotel/vn/songlam-waterfront.vi.html,Songlam Waterfront Hotel - 藍江酒店,5.250.000 VND,"Khối 2 Thị trấn Xuân An, Nghi Xuân, Hà Tĩnh, Việt Nam","8,2","8,7","8,8","9,0","8,9","8,4","8,0","8,0","Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Trung tâm thể dục, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Quầy bar, Bữa sáng",Từ 14:00 - 22:00,Từ 05:00 - 12:00
