Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/sojo-hau-giang.vi.html,SOJO Hotel Hau Giang,1.126.662 VND,"16A Nguyễn Công Trứ Phường 1, Vị Thanh, Việt Nam","9,0","9,0","8,9","9,3","9,0","8,5","9,3",,"Chỗ đỗ xe miễn phí, Phòng không hút thuốc, Nhà hàng, Tiện nghi cho khách khuyết tật, Trung tâm thể dục, Quầy bar, Bữa sáng",Từ 14:00 - 00:00,Đến 12:00
https://www.booking.com/hotel/vn/khach-san-hau-giang.vi.html,Khách sạn Hậu Giang,,"18 Hải Thượng Lãn Ông, Vị Thanh, Việt Nam","8,9","9,1","9,0","9,2","9,3","9,0","9,4","8,3","Chỗ đỗ xe miễn phí, Phòng không hút thuốc, WiFi miễn phí, Nhà hàng, Trung tâm thể dục, Dịch vụ phòng, Phòng gia đình, Bữa sáng",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/nha-nghi-hanh-phuc-vi-thanh1.vi.html,Nhà Nghỉ Hạnh Phúc,273.000 VND,"306 Ngô Quốc Trị, Vị Thanh, Việt Nam","1,0","2,5","2,5","5,0","5,0","2,5","5,0","5,0","WiFi miễn phí, Phòng gia đình",Từ 15:00 - 22:00,Từ 12:00 - 13:00
https://www.booking.com/hotel/vn/khach-san-bong-sen-thanh-pho-vi-thanh.vi.html,Khách Sạn Bông Sen,600.833 VND,"60 Trần Hưng Đạo, Vị Thanh, Việt Nam","7,6","8,5","7,0","7,5","7,5","8,0","7,9",,"Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, Nhà hàng, Tiện nghi cho khách khuyết tật, Trung tâm thể dục, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng",Từ 14:00 - 22:00,Từ 10:00 - 12:00
https://www.booking.com/hotel/vn/kim-mau-motel-thanh-pho-vi-thanh.vi.html,Kim Mau Motel,,"Nhà Nghỉ Kim Mau, 911080 Vị Thanh, Việt Nam",,,,,,,,,"Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng",Phục vụ 24 giờ,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/stiermann-39-s-ricefield-lodge.vi.html,Mekong Delta Ricefield Lodge,1.191.514 VND,"Truong Phu 1, Truong Long Ward, Phong Dien District, Can Tho City, Vietnam Ấp Trường Phú 1, xã Trường Long, Huyện Phong Điền, Thành phố Cần Thơ, Cần Thơ, Việt Nam","9,7","9,8","9,5","9,5","9,5","9,5","9,7","10,0","Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Nhà hàng, Phòng gia đình, Quầy bar, Bữa sáng, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00 - 17:00,Từ 08:00 - 11:00
https://www.booking.com/hotel/vn/flower-boutique-lodge.vi.html,Muong Dinh Lodge,1.179.077 VND,"rạch Mương Đình, ấp Nhơn Phú 1, xã Nhơn Nghĩa A, Ấp Nhơn Bình, Việt Nam","9,2","9,7","9,0","9,2","9,2","9,4","8,8",10,"Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Nhà hàng, Dịch vụ phòng, Phòng gia đình, Bữa sáng",Từ 12:00 - 14:00,Từ 10:00 - 12:00
https://www.booking.com/hotel/vn/mekong-daniel-homestay-can-tho-can-tho123456789101112.vi.html,MEKONG DANIEL HOMESTAY CAN THO,887.100 VND,"AP NHON KHANH, XA NHON NGHIA, HUYEN PHONG DIEN, Cần Thơ, Việt Nam","9,1","9,8","8,8","8,8","8,7","9,2","8,9","8,6","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng xuất sắc",Từ 14:00 - 00:00,Từ 11:30 - 12:00
https://www.booking.com/hotel/vn/boutique-lodge-can-tho-homstay.vi.html,Boutique Lodge Can Tho Homestay,1.050.750 VND,"Đường 61C, Cần Thơ, Việt Nam","9,7","9,9","9,6","9,6","9,7","9,7","9,3","9,3","Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi tốt miễn phí (40 Mbps), Nhà hàng, Phòng gia đình, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng tuyệt vời",Từ 14:00 - 22:00,Đến 12:00
https://www.booking.com/hotel/vn/cantho-eco-resort.vi.html,Cantho Eco Resort,2.766.786 VND,"Km7, Quốc Lộ 61C, Nhơn Nghĩa, Phong Điền, Cần Thơ, Cần Thơ, Việt Nam","8,4","9,0","8,2","8,6","8,5","8,2","7,9",10,"Hồ bơi ngoài trời, Phòng không hút thuốc, WiFi miễn phí, Trung tâm thể dục, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Phòng gia đình, Quầy bar, Bữa sáng tuyệt vời",Từ 14:00 - 00:00,Từ 06:00 - 12:00
