Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/the-galleria-metropole-thu-thiem-thu-duc.vi.html,The Galleria Metropole Thu Thiem,,"34/2D Đ. Lương Định Của, TP. Hồ Chí Minh, Việt Nam",,,,,,,,,"Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đậu xe riêng, Tiện nghi cho khách khuyết tật, Phòng gia đình, Sân thượng / hiên, Điều hòa nhiệt độ, Giặt ủi",Từ 15:00 - 22:00,Từ 00:00 - 11:00
https://www.booking.com/hotel/vn/hihi-village-building-service-apartment-elevator-city-center.vi.html,Hihi Village Building Service Apartment Elevator City Center,1.448.633 VND,"Hẻm 100 Nguyễn Đình Chiểu Hihi Village, Quận 1, 700000 TP. Hồ Chí Minh, Việt Nam",,,,,,,,,"Xe đưa đón sân bay, WiFi miễn phí, Dịch vụ phòng, Điều hòa nhiệt độ, Thang máy, Dọn phòng hàng ngày, Khu vực cho phép hút thuốc, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/hemr-homestay.vi.html,Hemr Homestay,588.000 VND,"16 Đường Nguyễn Thiện Thuật, Quận 3, 722200 TP. Hồ Chí Minh, Việt Nam",,,,,,,,,"Chỗ đỗ xe miễn phí, Điều hòa nhiệt độ, Sân vườn",Từ 14:00 - 18:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/brand-new-house-in-district-1-cozy-and-modern.vi.html,Brand new house in District 1 Cozy and Modern,849.999 VND,"1 Lý Chính Thắng 302, Quận 3, 70000 TP. Hồ Chí Minh, Việt Nam",,,,,,,,,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Điều hòa nhiệt độ, Thang máy",Từ 14:00,Đến 11:00
https://www.booking.com/hotel/vn/sleek-home-saigon-modern-and-newly-built-room-hocimin.vi.html,"Sleek home saigon, Modern and newly built room",949.999 VND,"612/50 Đ. Võ Văn Kiệt, Cầu Kho, Quận 1, Hồ Chí Minh room301, Quận 3, 00000 TP. Hồ Chí Minh, Việt Nam",,,,,,,,,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Điều hòa nhiệt độ, Thang máy",Từ 14:00 - 00:00,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/hoang-mai-quan-12.vi.html,Hoàng Mai Hotel,380.000 VND,"18A Đường Nguyễn Văn Giai 2, Quận 1, 70000 TP. Hồ Chí Minh, Việt Nam",,,,,,,,,"Dịch vụ đưa đón sân bay (miễn phí), Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Phòng gia đình, Lễ tân 24 giờ, Sân thượng / hiên, Điều hòa nhiệt độ",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/hoang-yen-binh-thanh.vi.html,Hoàng yến,494.000 VND,"1-3 Đường Phú Mỹ, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",,,,,,,,,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Điều hòa nhiệt độ",Từ 15:00 - 18:00,Từ 08:00 - 11:00
https://www.booking.com/hotel/vn/urban-stay-saigon.vi.html,Urban Stay Saigon,665.000 VND,"112/7 Rạch Bùng Binh, Quận 3, 700000 TP. Hồ Chí Minh, Việt Nam",,,,,,,,,Chỗ đỗ xe miễn phí,Từ 14:00 - 23:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/landmark-leasing-1br-apartment.vi.html,Landmark Leasing 1BR Apartment,9.292.857 VND,"724 Đường Điện Biên Phủ, Quận 10, TP. Hồ Chí Minh, Việt Nam",,,,,,,,,Chỗ đỗ xe miễn phí,Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/43-hoa-lan-phu-nhuan.vi.html,43 Hoa Lan,475.000 VND,"43 Hoa Lan, Quận Phú Nhuận, 70000 TP. Hồ Chí Minh, Việt Nam",,,,,,,,,Chỗ đỗ xe miễn phí,Từ 15:00 - 18:00,Từ 08:00 - 11:00
