Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/meta-apartment.vi.html,KLy Apartment Hotel,707.014 VND,"36 Nguyễn Tri Phương 36 Nguyễn Tri Phương, Huế, Việt Nam","8,2","8,7","7,9","8,1","8,2","8,5","9,1","9,0","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00 - 00:00,Từ 11:30 - 12:00
https://www.booking.com/hotel/vn/hue-serene-palace.vi.html,Hue Serene Palace Hotel,842.400 VND,"21 Lane 42 Nguyen Cong Tru, Huế, Việt Nam","9,2","9,8","9,1","9,4","9,4","9,5","9,4","8,9","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Phòng gia đình, Bữa sáng rất tốt, Có nôi/cũi miễn phí khi khách yêu cầu",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/elegant-thanh-pho-hue.vi.html,Elegant Hotel,638.400 VND,"60 Nguyễn Tri Phương, 49000 Huế, Việt Nam","8,7","9,2","8,8","8,9","8,9","9,0","9,6","9,2","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Nhà hàng, Phòng gia đình, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng",Từ 14:00 - 23:00,Đến 12:00
https://www.booking.com/hotel/vn/vung.vi.html,Vừng Hotel,787.006 VND,"3 kiet 11 Lý Thường Kiệt tổ 10, Huế, Việt Nam","8,9","8,6","8,9","9,1","9,1","9,2","8,5","9,5","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Nhà hàng, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00 - 23:00,Từ 07:00 - 12:00
https://www.booking.com/hotel/vn/melia-vinpearl-hue-hotel.vi.html,Melia Vinpearl Hue,7.652.626 VND,"50A Hung Vuong Street, Phu Nhuan Ward, Huế, Việt Nam","9,4","9,6","9,6","9,7","9,7","9,4","9,5","9,3","Hồ bơi trong nhà, Xe đưa đón sân bay, Trung tâm thể dục, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng, Chỗ đậu xe (trong khuôn viên), Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng tuyệt vời",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/po-minh-anh-homestay-2-hue.vi.html,Minh Anh Homestay 2,,"No. 22, Road 14, An Cuu City, An Dong Ward, Hue, Thua Thien Hue Q22 Đường số 14, 53000 Huế, Việt Nam",,,,,,,,,"Dịch vụ đưa đón sân bay (miễn phí), WiFi miễn phí, Chỗ đỗ xe miễn phí",Từ 14:00 - 18:00,Đến 12:00
https://www.booking.com/hotel/vn/volga-thanh-pho-hue1.vi.html,Volga Hotel,299.778 VND,"78 Trần Quang Khải, Huế, Việt Nam",,,,,,,,,Chỗ đỗ xe miễn phí,Từ 00:00 - 23:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/topview-homestay-view-om-tron-thanh-pho-hue.vi.html,Topview homestay view ôm trọn thành phố Huế,,"Huế, 540000 Huế, Việt Nam",,,,,,,,,"Hồ bơi, WiFi miễn phí, Chỗ đỗ xe miễn phí",Từ 14:00 - 18:00,Từ 11:00 - 12:00
https://www.booking.com/hotel/vn/po-anh-tuan-guest-house-hue.vi.html,Anh Tuan Guest House,,"20/16 Hai Ba Trung Street, Huế, Việt Nam",,,,,,,,,"Xe đưa đón sân bay, WiFi miễn phí, Tiện nghi cho khách khuyết tật, Quầy bar",Từ 14:00 - 22:00,Từ 12:00 - 14:00
https://www.booking.com/hotel/vn/gardenia-hue.vi.html,Gardenia Hue Hotel,884.000 VND,"91 Vo Thi Sau, Phu Hoi ward, Huế, Việt Nam","8,8","9,4","8,7","9,0","9,0","9,1","9,4","7,1","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Bữa sáng tốt",Từ 14:00,Đến 12:00
