Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/homestay-emiii-house.vi.html,Emiii House -Homestay View Biển Vinhomes Ocean Park 2,474.000 VND,"113 San Hô 15 số nhà 113, Hòa Bình, Việt Nam","9,5",10,"9,7","9,4","9,7",10,10,,"Chỗ đỗ xe miễn phí, Phòng không hút thuốc, WiFi miễn phí, Phòng gia đình",Phục vụ 24 giờ,Từ 00:00 - 11:00
https://www.booking.com/hotel/vn/swanlake-ecopark-hanoi-calm-homestay-van-giang.vi.html,Swanlake ecopark Hanoi-Calm homestay,683.086 VND,"Swanlake Residences r3, ECOPARK R3.2606B, 163960 Kim Quan, Việt Nam","9,5",10,"9,4","9,7","9,4","9,4",10,,"Hồ bơi ngoài trời, Chỗ đậu xe riêng, WiFi miễn phí, Phòng gia đình",Từ 14:00 - 23:00,Từ 11:00 - 12:00
https://www.booking.com/hotel/vn/h2-homestay-45m2-01-ngu-ecopark-van-giang-hung-yen.vi.html,"H2 Homestay - Ecopark, Văn Giang, Hưng Yên",536.750 VND,"Ecopark  Văn Giang, Hưng Yên, Hưng Yên, Việt Nam","8,4","8,8","8,3","8,7","8,6","8,5","8,4","6,3","Hồ bơi ngoài trời, Phòng không hút thuốc, WiFi nhanh miễn phí (63 Mbps), Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 23:00,Từ 11:30 - 12:00
https://www.booking.com/hotel/vn/qmp-friendly-house-ecopark.vi.html,Homestay Ecopark Hung Yen by QMP,1.327.000 VND,"Khu đô thị Ecopark, Xuân Quan, Văn Giang, Hưng Yên, Việt Nam","9,3","10,0","9,2","9,6",10,"9,8","9,6",10,"3 hồ bơi, Chỗ đậu xe (trong khuôn viên), Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, 3 nhà hàng, Trung tâm thể dục, Phòng gia đình",Từ 14:00 - 23:30,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/moonstone-homestay-amp-cafe-van-giang.vi.html,Moonstone Homestay & Cafe - Vinhomes Ocean Park 2,533.108 VND,"48 Cọ Xanh 18, Hòa Bình, Việt Nam","9,3","9,8","9,5","9,8","9,8","9,5","8,9","8,8","Chỗ đỗ xe miễn phí, Phòng không hút thuốc, WiFi miễn phí, Phòng gia đình",Từ 14:00 - 23:00,Từ 12:00 - 14:00
https://www.booking.com/hotel/vn/fami-homestay-ecopark-can-ho-1pn.vi.html,Fami Homestay - Ecopark Hưng Yên,725.000 VND,"Sol Forest Ecopark, Hưng Yên, Việt Nam","8,5","8,9","8,7","8,7","9,0","9,0","8,4",10,"Hồ bơi ngoài trời, Chỗ đậu xe (trong khuôn viên), Dịch vụ đưa đón sân bay (miễn phí), Phòng không hút thuốc, WiFi miễn phí, Phòng gia đình",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/khach-san-phuong-anh.vi.html,Khách sạn Phương Anh,21.816.302 VND,"Như Quỳnh center, thị trấn Như Quỳnh, huyện Văn Lâm, Hưng Yên, Việt Nam","8,3","9,0","8,9","8,9","9,0","8,5","6,8","6,7","Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Nhà hàng, Dịch vụ phòng, Quầy bar, Bữa sáng",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/adamo-hung-yen.vi.html,Adamo hotel Hung Yen,2.182.239 VND,"Thị Thư, Tân Lập, Yên Mỹ, Hưng Yên, 17713 Hưng Yên, Việt Nam","8,1","9,6","8,6","8,6","8,6","8,2","8,8",10,"Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, Dịch vụ đưa đón sân bay (miễn phí), WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Nhà hàng, Trung tâm thể dục, Dịch vụ phòng, Quầy bar, Bữa sáng",Từ 14:00 - 23:30,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/bay-luxury-sb10-124-ocp2.vi.html,Bay Luxury Villa- OCP2 - Self Checkin,475.000 VND,"SB10-124 Vinhomes Ocean Park 2 Nghĩa Trụ, Văn Giang, Hưng Yên, 16000 Hưng Yên, Việt Nam","9,3","8,8","8,3","7,9","9,6","9,2","9,6","2,5","Chỗ đỗ xe miễn phí, WiFi miễn phí",Từ 14:00 - 23:00,Từ 01:00 - 12:00
https://www.booking.com/hotel/vn/landmark-2-onsen-ecopark-van-giang.vi.html,Onsen Landmark Ecopark,666.900 VND,"Ecopark Landmark 2, Cong Luận, Việt Nam","9,1","9,7","9,0","9,0","9,6","9,6",10,,"Chỗ đỗ xe miễn phí, WiFi miễn phí, Nhà hàng",Từ 14:00 - 16:00,Từ 10:00 - 12:00
