Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/sojo-nam-dinh.vi.html,Tru by Hilton Nam Dinh City Centre,1.568.403 VND,"272 đường Trần Hưng Đạo, phường Bà Triệu, TP Nam Định, Nam Ðịnh, Việt Nam","8,8","8,8","8,9","8,9","9,1","8,6","9,0","9,0","Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, WiFi miễn phí, Phòng không hút thuốc, Trung tâm thể dục, Nhà hàng, Dịch vụ phòng, Quầy bar, Bữa sáng tốt",Từ 15:00,Đến 12:00
https://www.booking.com/hotel/vn/the-wiltons.vi.html,The wiltons hotel,916.667 VND,"Hồ Xuân Hương 32, Nam Ðịnh, Việt Nam","8,4","8,4","8,4","8,9","9,0","9,0","8,5",,"Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng không hút thuốc, Dịch vụ phòng, Phòng gia đình",Từ 13:30 - 14:00,Từ 11:30 - 12:00
https://www.booking.com/hotel/vn/tien-loc-plaza.vi.html,Tiến Lộc Plaza Hotel,819.825 VND,"Số 68, Trần Hưng Đạo,  Vĩnh Trụ, huyện Lý Nhân, tỉnh Hà Nam, Hà Nam, Việt Nam","8,2","9,4","9,4","9,4","9,4","8,8",10,,"Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng không hút thuốc, Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Nhà hàng, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/ruby-thanh-pho-nam-dinh.vi.html,Ruby Hotel,480.600 VND,"118 Bắc Ninh, phường Nguyễn Du, Nam Ðịnh, Việt Nam","6,4","7,7","6,4","6,7","6,6","6,8","7,5","7,0","Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng không hút thuốc, Dịch vụ phòng, Phòng gia đình",Từ 12:00 - 14:00,Từ 12:00 - 14:00
https://www.booking.com/hotel/vn/khach-san-det.vi.html,Khách sạn Dệt,559.000 VND,"62 Nguyễn Hiền Phường Trần Đăng Ninh, Nam Ðịnh, Việt Nam","8,4","8,4","7,9","8,9","8,3","8,5","8,5",,"Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, WiFi miễn phí, Phòng không hút thuốc, Tiện nghi cho khách khuyết tật",Từ 14:00 - 17:30,Từ 10:00 - 12:00
https://www.booking.com/hotel/vn/khach-san-p-amp-l.vi.html,Khách sạn P&L,631.750 VND,"4 Mỹ Trọng, 420000 Vu Bản, Việt Nam","8,1","9,3","8,3","8,5","9,0","8,8","7,8",,"Chỗ đỗ xe miễn phí, Phòng không hút thuốc, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 22:00,Từ 06:00 - 12:00
https://www.booking.com/hotel/vn/phu-my-thanh-pho-nam-dinh2.vi.html,Phú Mỹ hotel,487.500 VND,"36 Lê Hồng Phong, 07000 Nam Ðịnh, Việt Nam","7,6","8,7","9,3","8,2","9,3","9,2","8,9",,Chỗ đỗ xe miễn phí,Từ 12:00 - 13:00,Từ 12:00 - 13:00
https://www.booking.com/hotel/vn/rose-resot.vi.html,Rose Resort,966.364 VND,"P. Bà Huyện Thanh Quan, Quat Lâm Ha, Việt Nam",,,,,,,,,"Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng không hút thuốc, Phòng gia đình, Bữa sáng",Từ 14:00 - 23:00,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/khach-san-nam-cuong-nam-din.vi.html,Nam Cuong Nam Dinh Hotel,3.450.000 VND,"538 Phố Trần Hưng Đạo Phường Lộc Vượng, Nam Ðịnh, Việt Nam","8,9","8,8","8,9","9,2","9,4","8,4","9,4","9,5","Hồ bơi ngoài trời, Xe đưa đón sân bay, WiFi miễn phí, Phòng không hút thuốc, Trung tâm thể dục, Nhà hàng, Tiện nghi cho khách khuyết tật, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng tuyệt hảo",Từ 14:00 - 00:00,Đến 12:00
https://www.booking.com/hotel/vn/my-tra.vi.html,My Trà Hotel,272.850 VND,"Khu Công Nghiệp Hoà Xá, Mỹ Xá, 07118 Nam Ðịnh, Việt Nam","3,0","5,0","2,5","2,5","2,5","2,5","2,5",,"Chỗ đỗ xe miễn phí, Phòng không hút thuốc, Phòng gia đình",Từ 14:00 - 18:00,Từ 08:00 - 12:00
