Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/apec-mandala-whynham-phu-yen-q-house.vi.html,Apec Phú Yên SeaView Condotel,724.519 VND,"Đại Lộ Hùng Vương, phường 7, Tuy Hòa, Phú Yên, Tuy Hoà, Việt Nam","8,4","8,6","8,7","8,9","8,8","8,6","9,1","9,5","Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Giáp biển, Chỗ đậu xe (trong khuôn viên), Dịch vụ phòng, Tiện nghi cho khách khuyết tật, Phòng gia đình",Từ 14:00 - 21:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/handstay-nghinh-phong.vi.html,HANDstay Nghinh Phong,1.372.286 VND,"14 Đường Nguyễn Văn Huyên, Liên Trì (4), Việt Nam","9,4","9,5","9,2","9,5","9,6","9,5","9,2",10,"Chỗ đỗ xe miễn phí, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình, Quầy bar",Từ 14:00 - 22:00,Từ 06:00 - 12:00
https://www.booking.com/hotel/vn/m-continental-by-mandala-phu-yen.vi.html,M Continental by Mandala Phu Yen,1.172.474 VND,"ĐL Hùng Vương, Phường 7, Liên Trì (3), Việt Nam","8,5","9,0","8,5","8,7","8,9","8,9","8,7",10,"Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, Phòng không hút thuốc, WiFi miễn phí, Nhà hàng, Trung tâm thể dục, Dịch vụ phòng, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/santa-fe-house-ganh-da-dia.vi.html,Santa Fe House - Gành Đá Đĩa,2.300.000 VND,"Phú Hạnh, Phú Hạnh (5), Việt Nam","9,6","9,6","9,1","9,2","9,2","9,3","8,8",,"Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, WiFi miễn phí, Bữa sáng",Từ 14:00 - 18:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/khach-san-gan-bien-karina-phu-yen.vi.html,Khách sạn gần biển Karina Phú Yên,828.000 VND,"HT13 - 80 Lê Duẩn HT13, Liên Trì (4), Việt Nam","8,2","8,4","7,9","8,7","8,5","8,7","8,8",,"Chỗ đỗ xe miễn phí, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình, Khu vực bãi tắm riêng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/apec-boutique-phu-yen.vi.html,Apec Boutique Hotel Phú Yên,830.400 VND,"Đại lộ Hùng Vương, Tuy Hoà, Việt Nam","8,7","8,6","8,8","9,0","9,1","8,7","9,2",10,"Hồ bơi ngoài trời, WiFi miễn phí, Trung tâm thể dục, Giáp biển, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Khu vực bãi tắm riêng",Từ 14:00 - 00:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/apec-mandala-phu-yen-condotel-thanh-pho-tuy-hoa.vi.html,Apec Mandala Phu Yen Condotel,721.700 VND,"Đại lộ Hùng Vương Apec Mandala Building, Liên Trì (3), Việt Nam","9,0","8,6","8,9","9,1","8,6","8,9","9,0",10,"Chỗ đậu xe (trong khuôn viên), Phòng không hút thuốc, WiFi miễn phí, Phòng gia đình, Quầy bar",Từ 14:00 - 22:00,Từ 07:00 - 12:00
https://www.booking.com/hotel/vn/paradise-amp-homestay.vi.html,Paradise Hotel & Homestay access alley 100m,401.667 VND,"83 Nguyễn Tất Thành, Phu Yen, Việt Nam","9,3","9,9","9,6","9,7","9,6","9,7","8,8","7,6","Chỗ đỗ xe miễn phí, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình",Từ 14:00 - 21:00,Từ 00:00 - 12:00
https://www.booking.com/hotel/vn/hoang-my-phu-yen-tha-nh-pha-tuy-ha2a.vi.html,Apec Mandala Sea View Comhomes Phú Yên,796.250 VND,"25 Nguyễn Du, Tuy Hoà, Việt Nam","9,0","9,0","9,1","9,2","9,3","9,1","9,4","7,5","Hồ bơi ngoài trời, Xe đưa đón sân bay, WiFi miễn phí, Trung tâm thể dục, Giáp biển, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Nhà hàng, Quầy bar, Khu vực bãi tắm riêng",Từ 14:00 - 00:00,Từ 05:00 - 12:00
https://www.booking.com/hotel/vn/phi-long-tuy-hoa.vi.html,Phi Long Hotel,350.000 VND,"B93 Hoàng Văn Thụ, Phường 9, thành phố tuy hòa, phú yên, Tuy Hoà, Việt Nam","8,5","8,9","8,1","8,3","8,7","8,5","8,8","8,8","WiFi miễn phí, Giáp biển, Chỗ đỗ xe miễn phí",Từ 12:00,Đến 12:00
