Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/concept-maison.vi.html,Homestay & Hotel Concept Maison,912.750 VND,"Đại Cồ Việt HG02-04 Vincom Royal Park, Quảng Trị, Việt Nam","9,5","9,6","9,2","9,3","9,5","9,5","9,4",,"WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00 - 00:00,Từ 12:00 - 14:00
https://www.booking.com/hotel/vn/huu-nghi-thanh-pho-dong-ha1.vi.html,Hữu Nghị Hotel,590.976 VND,"68 Trần Hưng Đạo, Quảng Trị, Việt Nam",,,,,,,,,"Chỗ đỗ xe miễn phí, Bữa sáng",Từ 10:00 - 12:00,Từ 12:00 - 14:00
https://www.booking.com/hotel/vn/huong-sen-home-thanh-pho-dong-ha.vi.html,Hương Sen Home,367.800 VND,"43 Đoàn Hữu Trưng, Quảng Trị, Việt Nam",,,,,,,,,"Chỗ đỗ xe miễn phí, Bữa sáng",Từ 10:00 - 20:00,Từ 08:00 - 13:00
https://www.booking.com/hotel/vn/khach-san-nam-dong-dong-ha1.vi.html,Khách sạn nam đông,309.320 VND,"Lê Duẩn 348, Quảng Trị, Việt Nam","6,9","8,0","7,1","7,4","7,5","7,5","7,8","8,8","Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình",Phục vụ 24 giờ,Đến 12:00
https://www.booking.com/hotel/vn/shymphony-home.vi.html,Symphony home,435.000 VND,"Thôn Tân Hòa, Quảng Trị, Việt Nam",,,,,,,,,Chỗ đỗ xe miễn phí,Từ 13:00 - 17:00,Từ 08:00 - 11:00
https://www.booking.com/hotel/vn/muong-thanh-quang-tri.vi.html,Muong Thanh Grand Quang Tri Hotel,1.583.999 VND,"68 Le Duan, Quảng Trị, Việt Nam","8,1","8,7","8,0","8,4","8,3","7,7","8,2","8,5","3 hồ bơi, Xe đưa đón sân bay, Phòng không hút thuốc, Trung tâm thể dục, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng, Tiện nghi cho khách khuyết tật, Quầy bar, Bữa sáng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/khai-hoan-quang-tri.vi.html,Khai Hoan Hotel Quang Tri,432.140 VND,"91 Nguyễn Huệ, Quảng Trị, Việt Nam, Quảng Trị, Việt Nam","7,7","8,3","7,5","7,5","7,5","7,5","8,3",,"Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00 - 20:00,Từ 07:00 - 12:00
https://www.booking.com/hotel/vn/khach-san-nhu-mai.vi.html,Khách Sạn Như Mai,486.764 VND,"253 Lê Duẩn, Quảng Trị, Việt Nam","6,4","7,7","6,4","6,4","6,8","6,6","7,5",,"Dịch vụ đưa đón sân bay (miễn phí), Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00 - 22:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/vinh-apartment.vi.html,Vinh Home Apartment,1.317.500 VND,"Đông Lương, Đông Hải, Đông Hà, Quảng Trị, Việt Nam","9,0",10,"7,5","8,8",10,10,10,,"Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 15:00 - 18:00,Từ 08:00 - 11:00
https://www.booking.com/hotel/vn/nha-nghi-phuong-dong-tp-dong-ha-tinh-quang-tri.vi.html,Nhà nghỉ PHƯƠNG ĐÔNG,263.100 VND,"25/12 lương khánh thiện Tp đông hà, Quảng Trị, Việt Nam","7,1","7,6","6,8","7,1","7,1","7,7","7,3",,"Dịch vụ đưa đón sân bay (miễn phí), Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình, Quầy bar, Bữa sáng",Từ 07:00 - 12:00,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/thanh-do-khe-sanh.vi.html,Thành Đô Hotel - Khe Sanh,360.600 VND,"40 Hà Huy Tập Thành Đô Hotel, Quảng Trị, Việt Nam","9,0",10,10,10,10,10,10,,"Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 12:00 - 14:00,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/nha-nghi-thanh-thuy-thanh-pho-dong-ha.vi.html,Nhà Nghỉ Thanh Thuý,244.000 VND,"538 Quốc lộ 9, Khu phố 4, Phường 4, Quảng Trị, Việt Nam","7,6","8,4","7,3","7,5","7,4","8,2","7,8","2,5","WiFi miễn phí, Chỗ đỗ xe miễn phí, Bữa sáng",Từ 14:00 - 00:00,Từ 08:00 - 12:00
https://www.booking.com/hotel/vn/sai-gon-dong-ha.vi.html,Sai Gon Dong Ha Hotel - a member of Saigontourist Group,1.733.580 VND,"1 Bui Thi Xuan, Quảng Trị, Việt Nam","8,3","9,1","8,2","8,4","8,5","8,6","8,9","8,4","2 hồ bơi, Chỗ đỗ xe miễn phí, WiFi miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, 2 nhà hàng, Tiện nghi cho khách khuyết tật, Dịch vụ phòng, Quầy bar, Bữa sáng rất tốt",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/vinh-home.vi.html,Vinh Home,739.783 VND,"HG03-16 Hoàng Gia 2 KDT VinCom, Ðông Hà, Việt Nam","8,1","8,5","8,7","9,0","8,6","7,8","7,9","8,8","Phòng không hút thuốc, Chỗ đỗ xe miễn phí, WiFi miễn phí, Bữa sáng",Từ 02:00,Đến 12:00
https://www.booking.com/hotel/vn/hoa-phuong-guesthouse.vi.html,Hoa Phuong Guesthouse,257.799 VND,"485 Quoc lo 9, Dong Ha, Quang Tri, Ðông Hà, Việt Nam","8,6","9,4","8,1","8,4","8,5","9,1","8,1","8,1","Xe đưa đón sân bay, Chỗ đỗ xe miễn phí, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình, Bữa sáng",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/khach-san-song-hieu.vi.html,Khách sạn Sông Hiếu,375.000 VND,"Cầu Sông Hiếu 3, 520000 An Binh, Việt Nam",,,,,,,,,"Chỗ đỗ xe miễn phí, Bữa sáng",Phục vụ 24 giờ,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/thanh-thuy-guesthouse-dong-ha.vi.html,Thanh Thúy Guesthouse,205.564 VND,"538 Highway 9B - Dong Ha - Quang Tri, Ðông Hà, Việt Nam","8,0","8,9","8,2","7,7","8,1","8,6","7,9",10,"Xe đưa đón sân bay, Chỗ đỗ xe miễn phí, WiFi tốt miễn phí (18 Mbps)",Từ 10:00 - 23:30,Từ 05:00 - 12:00
https://www.booking.com/hotel/vn/khach-san-hoa-binh-quang-tri-dong-ha.vi.html,Khách sạn HOÀ BÌNH QUẢNG TRỊ,514.286 VND,"209 Lê Duẩn, Ðông Hà, Việt Nam","7,9","8,5","8,1","8,6","8,4","8,7","8,5","9,3","Chỗ đỗ xe miễn phí, WiFi miễn phí, Dịch vụ phòng, Phòng gia đình",Phục vụ 24 giờ,Phục vụ 24 giờ
