Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/khach-san-net-viet-vincom-soc-trang.vi.html,Nét Việt Hotel Vincom Sóc Trăng,840.000 VND,"PG01-15 Vincom Shophouse Trần Hưng Đạo, Phường 2, TP.Sóc Trăng, Sóc Trăng, Việt Nam","8,5","9,2","8,5","8,6","8,8","8,6","9,1","8,7","Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng không hút thuốc, Dịch vụ phòng, Phòng gia đình, Quầy bar",Từ 13:30 - 14:00,Từ 06:00 - 11:30
https://www.booking.com/hotel/vn/thuan-phat-house-soc-trang.vi.html,Thuan Phat House Soc Trang,628.829 VND,"50c Phú Lợi, Sóc Trăng, Việt Nam","7,9","8,6","8,0","7,9","7,9","8,1","8,6","7,5","Chỗ đỗ xe miễn phí, WiFi miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, Phòng gia đình",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/phu-qui.vi.html,Phu Qui Hotel,646.667 VND,"19 - 21 Phan Chu Trinh, Sóc Trăng, Việt Nam","8,1","9,4","7,7","8,0","8,2","8,9","9,2","6,7","Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng không hút thuốc, Phòng gia đình",Từ 13:00,Từ 12:00 - 13:00
https://www.booking.com/hotel/vn/khach-san-my-hang-thanh-pho-soc-trang.vi.html,Khách Sạn Mỹ Hằng,412.500 VND,"478 Trần Hưng Đạo Phường 2, Sóc Trăng, Việt Nam","7,4","8,1","7,8","7,7","7,7","7,5","7,4","8,0","Chỗ đỗ xe miễn phí, WiFi miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, Dịch vụ phòng, Phòng gia đình, Bữa sáng",Từ 11:30 - 00:00,Đến 10:00
https://www.booking.com/hotel/vn/mai-anh-garden.vi.html,Mai Anh Garden,311.250 VND,"Trần Hưng Đạo, Sóc Trăng, Việt Nam","9,0","9,7","9,0","9,1","9,0","9,4","9,3","8,5","WiFi cơ bản miễn phí (14 Mbps), Xe đưa đón sân bay, Phòng không hút thuốc, Quầy bar",Từ 14:00 - 21:00,Từ 06:00 - 12:00
https://www.booking.com/hotel/vn/khach-san-vinh-chuong.vi.html,Khách sạn Vĩnh Chương,477.500 VND,"107 Hùng Vương, Sóc Trăng, Việt Nam","8,4","9,3","8,2","8,7","8,8","8,6","8,8","7,5","Chỗ đỗ xe miễn phí, WiFi miễn phí",Từ 12:00 - 14:00,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/thuan-phat-thanh-pho-soc-trang.vi.html,Thuận Phát Hotel,1.254.600 VND,"295 Phú Lợi, Phường 2, Sóc Trăng, Sóc Trăng, Việt Nam","8,1","8,9","8,1","8,2","8,7","8,2","8,5","8,8","Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Phòng gia đình, Bữa sáng rất tốt",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/xuan-huynh-3.vi.html,XUÂN HUỲNH 3 Hotel,457.500 VND,"34a Huynh Phan Ho, Sóc Trăng, Việt Nam","8,6","8,7","8,4","8,8","8,9","8,7","7,9","9,0","Chỗ đỗ xe miễn phí, WiFi miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, Dịch vụ phòng, Phòng gia đình",Từ 13:00 - 14:00,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/thien-an-thanh-pho-soc-trang.vi.html,Thien An Hotel,,"593 Trần Hưng Đạo, Sóc Trăng, Việt Nam","8,9","8,8","8,7","8,9","9,2","9,1","8,6","9,0","Hồ bơi ngoài trời, Chỗ đỗ xe miễn phí, WiFi miễn phí, Phòng không hút thuốc, Phòng gia đình",Từ 14:00 - 22:00,Phục vụ 24 giờ
https://www.booking.com/hotel/vn/phuong-hue.vi.html,Phuong Hue Hotel,371.133 VND,"89 Le Loi, Ward 6, Soc Trang City, Sóc Trăng, Việt Nam","7,7","8,5","7,5","7,3","7,9","8,0","8,8",,"Chỗ đỗ xe miễn phí, Xe đưa đón sân bay, Dịch vụ phòng",Từ 11:00 - 21:30,Từ 11:00 - 12:00
https://www.booking.com/hotel/vn/que-toi.vi.html,Quê Tôi Hotel,1.880.868 VND,"278 Phú Lợi, Sóc Trăng, Việt Nam","7,6","8,2","8,0","7,6","8,1","7,9","8,0","8,7","Hồ bơi trong nhà, Chỗ đỗ xe miễn phí, WiFi miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00,Đến 12:00
