Hotel URL,Hotel Name,Overview Price,Address,Overall Rating,Staff,Facilities,Cleanliness,Comfort,Value for Money,Location,Free Wifi,Popular Facilities,Checkin Time,Checkout Time
https://www.booking.com/hotel/vn/po-royal-palace-hotel-tuy-n-quang.vi.html,Royal Palace Hotel,,"176A, Binh Thuan Street, Tuyen Quang City, Tuyen Quang Province, Viet Nam, 300000 Tuyên Quang, Việt Nam",,,,,,,,,"Xe đưa đón sân bay, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Quầy bar",Từ 14:00 - 12:00,Từ 23:00 - 12:30
https://www.booking.com/hotel/vn/muong-thanh-grand-tuyen-quang.vi.html,Muong Thanh Grand Tuyen Quang Hotel,2.200.544 VND,"207 Bình Thuận, Tuyên Quang, Việt Nam","8,8","9,3","8,7","9,1","9,0","8,4","9,3","9,5","Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng không hút thuốc, Trung tâm thể dục, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Quầy bar, Bữa sáng tốt",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/na-tue-an-homestay-81-vo-van-kiet.vi.html,Na Tuệ An-Homestay 81 Võ Văn Kiệt,356.400 VND,"81 Võ Văn Kiệt, Thành Phố Tuyên Quang, Tuyên Quang, Việt Nam","9,6","9,9","9,6","9,7","9,6","9,8","9,5",,"Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Quầy bar, Bữa sáng",Từ 14:00 - 22:00,Từ 07:00 - 12:00
https://www.booking.com/hotel/vn/thanh-trung-thanh-pho-tuyen-quang.vi.html,Thành Trung Hotel,,"5 Hong Thai, Phan Thiet ward, Tuyên Quang, Việt Nam","7,2","7,8","7,1","7,1","6,9","7,8","8,1","6,7","Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00,Đến 12:00
https://www.booking.com/hotel/vn/alala.vi.html,Alala Homestay- Trung tâm thành phố Tuyên Quang- Tuyên Quang City Center,800.000 VND,"159 Nguyễn Trãi, Tuyên Quang, Việt Nam","8,6","9,7","8,7","9,5","9,1","8,3","9,2",10,"WiFi tốt miễn phí (33 Mbps), Chỗ đỗ xe miễn phí",Từ 14:00 - 00:00,Từ 12:00 - 12:30
https://www.booking.com/hotel/vn/anh-anh-luxury.vi.html,Anh Anh Luxury Hotel,509.438 VND,"15 Nguyễn Văn Linh, Tuyên Quang, Việt Nam","8,3","8,4","7,5","7,9","8,1","8,0","8,8",,"Phòng không hút thuốc, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00 - 15:00,Từ 12:00 - 13:00
https://www.booking.com/hotel/vn/an-homestay-tuyen-quang-tuyen-quang.vi.html,An Homestay Tuyên Quang,500.000 VND,"Số nhà 27 - Đường Bình Thuận - Tp Tuyên Quang, Tuyên Quang, Việt Nam","6,8","7,2","8,4","8,8","8,4","8,4","9,0",,"Phòng không hút thuốc, Chỗ đậu xe riêng",Từ 14:00 - 22:00,Từ 06:00 - 12:00
https://www.booking.com/hotel/vn/nam-phong-ham-yen.vi.html,FarmStay Ô A Pháo - km37 Hàm Yên,400.000 VND,"km37 tân yên, hàm yên, tuyên quang, Tuyên Quang, Việt Nam","8,0","9,6","7,6","7,7","7,9","9,1","8,7",,"Xe đưa đón sân bay, Phòng không hút thuốc, WiFi miễn phí, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Phòng gia đình, Quầy bar, Bữa sáng",Từ 12:00 - 23:30,Từ 05:00 - 11:30
https://www.booking.com/hotel/vn/na-tue-an-homestay-so-3-hoang-van-thai.vi.html,Na Tuệ An-Homestay Số 3 Hoàng Văn Thái,,"3 Phố Hoàng Văn Thái, Tuyên Quang, Việt Nam",,,,,,,,,"Phòng không hút thuốc, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình",Từ 14:00 - 22:00,Từ 07:00 - 12:00
https://www.booking.com/hotel/vn/bach-thao-ngan-resort.vi.html,Bách Thảo Ngân Hotel Resort,2.350.000 VND,"Việt Nam, 84 Tuyên Quang, Việt Nam",,,,,,,,,"Hồ bơi ngoài trời, Dịch vụ phòng, Chỗ đỗ xe miễn phí, Nhà hàng, Phòng gia đình, Bữa sáng",Phục vụ 24 giờ,Phục vụ 24 giờ
